source,target,label,weight,type
doc:79c473fee627c57e,domain:kfoxtv.com,,1,
doc:0cab39a95ce91495,domain:kfoxtv.com,,1,
doc:8efd21c60f462a76,domain:kfoxtv.com,,1,
doc:5dc36cd44bbe95b5,domain:kfoxtv.com,,1,
doc:0eed87829063968a,domain:kfoxtv.com,,1,
doc:a0ed752df2cf7530,domain:kfoxtv.com,,1,
doc:fc9939a4dffa2fc9,domain:kfoxtv.com,,1,
doc:6e4edd77de7fb2b9,domain:kfoxtv.com,,1,
doc:19fc16e1f10cc934,domain:kfoxtv.com,,1,
doc:07b6885ddfac2a43,domain:kfoxtv.com,,1,
doc:311a39f09913c41d,domain:kfoxtv.com,,1,
doc:9eb81df84e5fdc0b,domain:kfoxtv.com,,1,
doc:4ab27831061c9ceb,domain:kfoxtv.com,,1,
doc:182fbbefac09515b,domain:kfoxtv.com,,1,
doc:a6dab02e9827a127,domain:kfoxtv.com,,1,
doc:b8e865e356d5fabc,domain:kfoxtv.com,,1,
doc:a424746c14af48a1,domain:kfoxtv.com,,1,
doc:cd63fc7d7a533ba9,domain:kfoxtv.com,,1,
doc:8331a5637da530c3,domain:kfoxtv.com,,1,
doc:9ea82781484b7096,domain:kfoxtv.com,,1,
doc:4f1dc43889fc040f,domain:kfoxtv.com,,1,
doc:4f1dc43889fc040f,topic:Litigation,,1,
doc:6f618ea5d81dc603,domain:kfoxtv.com,,1,
doc:8af17d5a2e0a950b,domain:kfoxtv.com,,1,
doc:a76765b47f1cee88,domain:kfoxtv.com,,1,
doc:a925039908d43557,domain:kfoxtv.com,,1,
doc:bd22a13abb033ac2,domain:kfoxtv.com,,1,
doc:4ca4c80656b6d339,domain:kfoxtv.com,,1,
doc:697a18e4122815df,domain:kfoxtv.com,,1,
doc:0033cbe19430975b,domain:kfoxtv.com,,1,
doc:424ae370bae810f3,domain:kfoxtv.com,,1,
doc:f39be5fad5f5c904,domain:kfoxtv.com,,1,
doc:61a406d864198dfe,domain:kfoxtv.com,,1,
doc:7985fd93ce2ed344,domain:kfoxtv.com,,1,
doc:b846a9fae717b6e6,domain:kfoxtv.com,,1,
doc:1c4d021971bda504,domain:kfoxtv.com,,1,
doc:6617731e442988ea,domain:kfoxtv.com,,1,
doc:76cd5336ca83fdc8,domain:kfoxtv.com,,1,
doc:764c8fac4d8601de,domain:kfoxtv.com,,1,
doc:14c6aa685ee51b70,domain:kfoxtv.com,,1,
doc:d94d4b43eafa4261,domain:kfoxtv.com,,1,
doc:18da5e5dec65a69d,domain:kfoxtv.com,,1,
doc:18da5e5dec65a69d,topic:Ratepayer,,1,
doc:a6e113ada19b599c,domain:kfoxtv.com,,1,
doc:c22f98932e6527a0,domain:kfoxtv.com,,1,
doc:71f0334585947b01,domain:kfoxtv.com,,1,
doc:55e623713a433df7,domain:kfoxtv.com,,1,
doc:0ad05d9b5d0a297e,domain:kfoxtv.com,,1,
doc:c647b4a603876041,domain:kfoxtv.com,,1,
doc:11febb2f7f3b1466,domain:kfoxtv.com,,1,
doc:88f9fb7ed3368055,domain:kfoxtv.com,,1,
doc:2e4dbd44364734f3,domain:kfoxtv.com,,1,
doc:a83124fbc1ae1e8d,domain:kfoxtv.com,,1,
doc:07123ba3d4d68aa3,domain:kfoxtv.com,,1,
doc:1cf2e9960ca3d37b,domain:kfoxtv.com,,1,
doc:da25ea2038e37296,domain:kfoxtv.com,,1,
doc:bf0fa1c793432d82,domain:kfoxtv.com,,1,
doc:4e028b38df57cea6,domain:kfoxtv.com,,1,
doc:8d175040496c7894,domain:kfoxtv.com,,1,
doc:823b3f8245a1d33f,domain:kfoxtv.com,,1,
doc:4367af0d90adf4fc,domain:kfoxtv.com,,1,
doc:a787bd0afa37fc3f,domain:kfoxtv.com,,1,
doc:0ee08f8ed7e351f9,domain:kfoxtv.com,,1,
doc:ee31a3816305014d,domain:kfoxtv.com,,1,
doc:27871a4de2a24286,domain:kfoxtv.com,,1,
doc:3859f431d6e687be,domain:kfoxtv.com,,1,
doc:00bc355fb3237e15,domain:kfoxtv.com,,1,
doc:78ebaa69805a4986,domain:kfoxtv.com,,1,
doc:e4bb132bd7ca9564,domain:kfoxtv.com,,1,
doc:037b3c51a1ab3baf,domain:kfoxtv.com,,1,
doc:602e207f5a867710,domain:kfoxtv.com,,1,
doc:d0875003038df666,domain:kfoxtv.com,,1,
doc:e253429fded74c61,domain:kfoxtv.com,,1,
doc:66cb672d632295c7,domain:kfoxtv.com,,1,
doc:3bea1380deba791c,domain:kfoxtv.com,,1,
doc:9e4e5d136fe39adf,domain:kfoxtv.com,,1,
doc:b2bc4eb5d8506656,domain:kfoxtv.com,,1,
doc:ae0a5f04d464d0fb,domain:kfoxtv.com,,1,
doc:571ccc88b26a6aa1,domain:kfoxtv.com,,1,
doc:f68d97914fecab3b,domain:www.youtube.com,,1,
doc:f9fd12c62057c3fb,domain:kfoxtv.com,,1,
doc:f9fd12c62057c3fb,topic:Project Jupiter,,1,
doc:f9fd12c62057c3fb,topic:Litigation,,1,
doc:4361f3ab3714b1e0,domain:kfoxtv.com,,1,
doc:4361f3ab3714b1e0,topic:Project Jupiter,,1,
doc:4361f3ab3714b1e0,topic:Litigation,,1,
doc:ebc57ead85eed550,domain:kfoxtv.com,,1,
doc:ebc57ead85eed550,topic:Project Jupiter,,1,
doc:ebc57ead85eed550,topic:Litigation,,1,
doc:5f5959e5b18ed6db,domain:kfoxtv.com,,1,
doc:5f5959e5b18ed6db,topic:Project Jupiter,,1,
doc:42bb9f6ff8168af8,domain:kfoxtv.com,,1,
doc:1b458eb932a00684,domain:kfoxtv.com,,1,
doc:1b458eb932a00684,topic:Litigation,,1,
doc:731f1cb09c7bb364,domain:kfoxtv.com,,1,
doc:731f1cb09c7bb364,topic:Data Center,,1,
doc:94468d1a15f41139,domain:kfoxtv.com,,1,
doc:191fb24fb4282f4a,domain:kfoxtv.com,,1,
doc:275e54c6f85708c8,domain:kfoxtv.com,,1,
doc:5b6a3c11d3bac79d,domain:kfoxtv.com,,1,
doc:c8200b9ef60a23aa,domain:kfoxtv.com,,1,
doc:c8200b9ef60a23aa,topic:Data Center,,1,
doc:825ac9969405afe1,domain:kfoxtv.com,,1,
doc:825ac9969405afe1,topic:Project Jupiter,,1,
doc:3f45be176594d16b,domain:kfoxtv.com,,1,
doc:bb60f3d0525c7a42,domain:kfoxtv.com,,1,
doc:45a47f9ec7bc7f64,domain:kfoxtv.com,,1,
doc:39bbb6a38417a7d7,domain:kfoxtv.com,,1,
doc:3daeea5f20deed64,domain:kfoxtv.com,,1,
doc:9213d65f8b5ccfce,domain:kfoxtv.com,,1,
doc:6aa13908213a4c45,domain:kfoxtv.com,,1,
doc:9d60bcc4a055726b,domain:kfoxtv.com,,1,
doc:f33d6d04dfdf9d99,domain:kfoxtv.com,,1,
doc:f33d6d04dfdf9d99,topic:Ratepayer,,1,
doc:3b284d8a86e0cb2b,domain:kfoxtv.com,,1,
doc:b15472155382d547,domain:spectrumlocalnews.com,,1,
doc:8f8d84f3614c78e5,domain:spectrumlocalnews.com,,1,
doc:8fd6a65bc5e400d6,domain:spectrumlocalnews.com,,1,
doc:a5e10dcd25f98b37,domain:spectrumlocalnews.com,,1,
doc:59dd3be6627e4ce4,domain:spectrumlocalnews.com,,1,
doc:a43614f4e806f7d4,domain:spectrumlocalnews.com,,1,
doc:d6021dd6cea459f3,domain:spectrumlocalnews.com,,1,
doc:213ff1fe9530d66c,domain:spectrumlocalnews.com,,1,
doc:6ce13114d8d2bf66,domain:spectrumlocalnews.com,,1,
doc:8b101fe5467c8153,domain:spectrumlocalnews.com,,1,
doc:cf524c58a8323ca9,domain:spectrumlocalnews.com,,1,
doc:0a05f483cc58d4b2,domain:spectrumlocalnews.com,,1,
doc:7df534ae658e6f67,domain:spectrumlocalnews.com,,1,
doc:2345a0732a7d64af,domain:spectrumlocalnews.com,,1,
doc:ce70939f493c3320,domain:spectrumlocalnews.com,,1,
doc:4d36302428d98559,domain:spectrumlocalnews.com,,1,
doc:12f768940456cefd,domain:spectrumlocalnews.com,,1,
doc:9e9bf523abae6397,domain:spectrumlocalnews.com,,1,
doc:9bd98860b40b0f3b,domain:spectrumlocalnews.com,,1,
doc:514ca3b1957dd605,domain:spectrumlocalnews.com,,1,
doc:6a643d63a3be4666,domain:spectrumlocalnews.com,,1,
doc:fc9160e37130daf6,domain:spectrumlocalnews.com,,1,
doc:0ee4919226f00a46,domain:spectrumlocalnews.com,,1,
doc:4b920f4290d1bc15,domain:spectrumlocalnews.com,,1,
doc:7de56c6ada0f46a3,domain:spectrumlocalnews.com,,1,
doc:15c51be0ab92fc14,domain:spectrumlocalnews.com,,1,
doc:d8647a4f39a02f35,domain:spectrumlocalnews.com,,1,
doc:07b20ebd1ffb1aba,domain:spectrumlocalnews.com,,1,
doc:450c428d5e804c83,domain:spectrumlocalnews.com,,1,
doc:5fe2d4a4ac0a910a,domain:spectrumlocalnews.com,,1,
doc:17ace544b9dc9fef,domain:spectrumlocalnews.com,,1,
doc:982be299b36b95da,domain:spectrumlocalnews.com,,1,
doc:9c0e172f5aceaf71,domain:spectrumlocalnews.com,,1,
doc:d03d25c5ce28e425,domain:spectrumlocalnews.com,,1,
doc:ca4b2a9303323fd4,domain:spectrumlocalnews.com,,1,
doc:45e908b7bc5f22d7,domain:spectrumlocalnews.com,,1,
doc:a850e553b918ada6,domain:spectrumlocalnews.com,,1,
doc:a5e10dcd25f98b37,domain:spectrumlocalnews.com,,1,
doc:73110ddad1023777,domain:spectrumlocalnews.com,,1,
doc:162ae8fab3172916,domain:spectrumlocalnews.com,,1,
doc:8ec6b76b5bb4e72a,domain:spectrumlocalnews.com,,1,
doc:3a1e2ab9f3500804,domain:spectrumlocalnews.com,,1,
doc:5fcd6aa7d92614d5,domain:spectrumlocalnews.com,,1,
doc:b03f6d835a4c51a4,domain:spectrumlocalnews.com,,1,
doc:b256247e009ffbfd,domain:www.youtube.com,,1,
doc:b388005bbcce8531,domain:nmelc.org,,1,
doc:0a770531592caa76,domain:nmelc.org,,1,
doc:c89200e1228f597d,domain:nmelc.org,,1,
doc:c89200e1228f597d,topic:Water,,1,
doc:7ba71e8250e563e4,domain:nmelc.org,,1,
doc:50519ec729a5cb85,domain:nmelc.org,,1,
doc:50519ec729a5cb85,topic:Air Quality,,1,
doc:7e4a6457b3836d34,domain:nmelc.org,,1,
doc:7e4a6457b3836d34,topic:Water,,1,
doc:76934c27cf19c7c3,domain:nmelc.org,,1,
doc:ad61a6758cd9dc62,domain:nmelc.org,,1,
doc:ad61a6758cd9dc62,auth:NMED,,1,
doc:9d58b007a8f645d3,domain:nmelc.org,,1,
doc:ce95343f8c4f9782,domain:nmelc.org,,1,
doc:bfc53c8ef2100b4b,domain:nmelc.org,,1,
doc:b8300136ec1e2088,domain:nmelc.org,,1,
doc:7947880dc21d160e,domain:nmelc.org,,1,
doc:c96bd8b43efebf86,domain:nmelc.org,,1,
doc:4dd2456cb63ad26d,domain:nmelc.org,,1,
doc:bb5f8ab8f7280910,domain:nmelc.org,,1,
doc:33b35d9c5889946a,domain:nmelc.org,,1,
doc:19a38690e9796411,domain:nmelc.org,,1,
doc:b388005bbcce8531,domain:nmelc.org,,1,
